#DMCNumber , Description , Red , Green , Blue , Hex
000 , White , 255 , 255 , 255 , 0xFFFFFF
208 , Lavender - VY DK , 148 , 91 , 128 , 0x945B80
169 , Pewter Grey +++ , 130 , 125 , 125 , 0x827D7D
168 , Silver Grey +++ , 177 , 174 , 183 , 0xB1AEB7
167 , Khaki Brown +++ , 133 , 93 , 49 , 0x855D31
166 , Lime Green +++ , 173 , 194 , 56 , 0xADC238
165 , Green - BRIGHT +++ , 225 , 244 , 119 , 0xE1F477
164 , Green - LT +++ , 186 , 228 , 182 , 0xBAE4B6
163 , Green +++ , 85 , 122 , 96 , 0x557A60
162 , Baby Blue - LT +++ , 202 , 231 , 240 , 0xCBDCFD
161 , Petrol Blue - DK +++ , 96 , 86 , 139 , 0x60568B
160 , Petrol Blue - MED +++ , 129 , 120 , 169 , 0x8178A9
159 , Petrol Blue - LT +++ , 188 , 181 , 222 , 0xBCB5DE
158 , Blue - DK +++ , 57 , 48 , 104 , 0x393068
157 , Blue - LT +++ , 181 , 184 , 234 , 0xB5B8EA
156 , Blue - MED +++ , 133 , 119 , 180 , 0x8577B4
155 , Forget-Me-Not Blue +++ , 151 , 116 , 182 , 0x9774B6
154 , Red - VY DK +++ , 75 , 35 , 58 , 0x4B233A
153 , Lilac +++ , 234 , 197 , 235 , 0xEAC5EB
152 , Flesh - DK +++ , 225 , 161 , 161 , 0xE1A1A1
151 , Pink +++ , 255 , 203 , 215 , 0xFFCBD7
150 , Bright Red +++ , 207 , 0 , 83 , 0xCF0053
9998 , Ecru , 255 , 247 , 231 , 0xFFF7E7
356 , Terracotta - MED , 226 , 114 , 91 , 0xE2725B
355 , Terracotta - DK , 189 , 73 , 47 , 0xBD492F
353 , Peach Flesh , 255 , 196 , 184 , 0xFFC4B8
352 , Coral - LT , 255 , 157 , 144 , 0xFF9D90
351 , Coral , 255 , 128 , 135 , 0xFF8087
350 , Coral - MED , 237 , 69 , 90 , 0xED455A
349 , Coral - DK , 220 , 61 , 91 , 0xDC3D5B
347 , Salmon - VY DK , 194 , 36 , 67 , 0xC22443
341 , Blue Violet - LT , 145 , 180 , 197 , 0x91B4C5
340 , Blue Violet - MED , 162 , 121 , 164 , 0xA279A4
336 , Navy Blue , 36 , 73 , 103 , 0x244967
335 , Rose , 219 , 36 , 79 , 0xDB244F
334 , Baby Blue - MED , 115 , 140 , 170 , 0x738CAA
333 , Blue Violet - VY DK , 127 , 84 , 130 , 0x7F5482
327 , Violet - DK , 61 , 0 , 103 , 0x3D0067
326 , Rose - VY DEEP , 188 , 22 , 65 , 0xBC1641
322 , Navy Blue - VY LT , 81 , 109 , 135 , 0x516D87
321 , Christmas Red , 231 , 18 , 97 , 0xE71261
320 , Pistachio Green - MED , 138 , 153 , 120 , 0x8A9978
319 , Pistachio Green - VY DK , 85 , 95 , 82 , 0x555F52
318 , Steel Grey - LT , 197 , 198 , 190 , 0xC5C6BE
317 , Pewter Grey , 167 , 139 , 136 , 0xA78B88
316 , Antique Mauve - MED , 220 , 141 , 141 , 0xDC8D8D
315 , Antique Mauve - VY DK , 163 , 90 , 91 , 0xA35A5B
312 , Navy Blue - LT , 58 , 84 , 103 , 0x3A5467
311 , Navy Blue - MED , 0 , 79 , 97 , 0x004F61
310 , Black , 0 , 0 , 0 , 0x000000
309 , Rose - DEEP , 214 , 43 , 91 , 0xD62B5B
307 , Lemon , 255 , 231 , 109 , 0xFFE76D
304 , Christmas Red - MED , 188 , 0 , 97 , 0xBC0061
301 , Mahogany - MED , 209 , 102 , 84 , 0xD16654
300 , Mahogany - VY DK , 143 , 57 , 38 , 0x8F3926
225 , Shell Pink - ULT VY LT , 255 , 240 , 228 , 0xFFF0E4
224 , Shell Pink - VY LT , 255 , 199 , 176 , 0xFFC7B0
